model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.7-sonnet,50.0,50.0,50.0,"(-0.00, +0.00)",1094.0,2025-03-12
o1-medium,47.75,44.65,50.97,"(-3.10, +3.22)",1487.0,2025-03-12
o3-mini-high,44.6,41.69,47.45,"(-2.91, +2.85)",1257.0,2025-03-12
gemini-2.0-flash-001,38.64,35.74,41.86,"(-2.90, +3.22)",1901.0,2025-03-12
claude-3.5-sonnet,37.98,34.92,41.47,"(-3.06, +3.49)",682.0,2025-03-12
o3-mini-medium,36.87,34.48,39.46,"(-2.39, +2.59)",1221.0,2025-03-12
gpt-4.5-preview,36.06,33.15,39.06,"(-2.91, +3.00)",1040.0,2025-03-12
gemini-2.0-flash-lite-001,35.14,32.05,38.24,"(-3.09, +3.10)",2196.0,2025-03-12
o3-mini-low,32.23,29.38,34.93,"(-2.85, +2.70)",1205.0,2025-03-12
claude-3.5-haiku,27.48,24.6,30.41,"(-2.88, +2.93)",601.0,2025-03-12
gpt-4o-2024-11-20,23.79,21.69,26.16,"(-2.10, +2.37)",1216.0,2025-03-12
claude-3.5-sonnet-20240620,22.87,20.07,25.59,"(-2.80, +2.72)",628.0,2025-03-12
minimax-01,19.54,16.56,22.73,"(-2.98, +3.19)",370.0,2025-03-12
grok-2-1212,16.89,14.87,19.01,"(-2.02, +2.12)",898.0,2025-03-12
deepseek-v3,16.58,14.8,18.36,"(-1.78, +1.78)",1007.0,2025-03-12
qwen-2.5-72b-instruct,15.36,13.65,17.06,"(-1.71, +1.70)",1097.0,2025-03-12
nova-pro-v1,15.31,13.41,17.27,"(-1.90, +1.96)",905.0,2025-03-12
gemma-2-27b-it,15.27,13.46,17.18,"(-1.81, +1.91)",794.0,2025-03-12
gpt-4-1106-preview,14.77,12.8,16.72,"(-1.97, +1.95)",846.0,2025-03-12
mistral-large-2411,13.78,12.01,15.53,"(-1.77, +1.75)",906.0,2025-03-12
gpt-4o-mini,12.91,11.15,14.67,"(-1.76, +1.76)",890.0,2025-03-12
qwen2.5-32b-instruct,11.32,9.57,13.06,"(-1.75, +1.74)",795.0,2025-03-12
wizardlm-2-8x22b,10.69,9.28,12.21,"(-1.41, +1.52)",1028.0,2025-03-12
command-r-plus-08-2024,10.56,9.16,12.2,"(-1.40, +1.64)",969.0,2025-03-12
nova-lite-v1,9.82,8.41,11.24,"(-1.41, +1.42)",994.0,2025-03-12
hermes-3-llama-3.1-405b,9.78,8.18,11.5,"(-1.60, +1.72)",771.0,2025-03-12
gemma-2-9b-it,9.66,8.09,11.42,"(-1.57, +1.76)",751.0,2025-03-12
mistral-small-24b-instruct-2501,9.41,7.99,10.83,"(-1.42, +1.42)",998.0,2025-03-12
hermes-3-llama-3.1-70b,9.26,7.78,10.86,"(-1.48, +1.60)",771.0,2025-03-12
lfm-7b,9.0,7.77,10.19,"(-1.23, +1.19)",1011.0,2025-03-12
lfm-40b,7.99,6.58,9.47,"(-1.41, +1.48)",863.0,2025-03-12
llama-3.3-70b-instruct,7.48,6.02,8.93,"(-1.46, +1.45)",809.0,2025-03-12
command-r-08-2024,7.39,6.01,8.86,"(-1.38, +1.47)",796.0,2025-03-12
nova-micro-v1,6.92,5.9,8.15,"(-1.02, +1.23)",927.0,2025-03-12
lfm-3b,5.07,4.15,5.96,"(-0.92, +0.89)",776.0,2025-03-12
command-r7b-12-2024,4.94,3.98,5.87,"(-0.96, +0.93)",882.0,2025-03-12
qwen-2.5-7b-instruct,4.34,3.33,5.42,"(-1.01, +1.08)",844.0,2025-03-12
llama-3.1-nemotron-70b-instruct,4.33,3.58,5.11,"(-0.75, +0.78)",1854.0,2025-03-12
llama-3.1-405b-instruct,3.2,2.48,4.03,"(-0.72, +0.83)",1735.0,2025-03-12
llama-3.1-70b-instruct,1.72,1.34,2.21,"(-0.38, +0.49)",1923.0,2025-03-12
llama-3.1-8b-instruct,0.66,0.51,0.83,"(-0.15, +0.17)",5081.0,2025-03-12
