model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.7-sonnet,50.0,50.0,50.0,"(-0.00, +0.00)",1094.0,2025-03-12
o3-mini-high,40.99,38.76,43.12,"(-2.23, +2.13)",1257.0,2025-03-12
gpt-4.5-preview,40.45,38.15,42.6,"(-2.30, +2.15)",1040.0,2025-03-12
o1-medium,38.45,36.22,40.69,"(-2.23, +2.24)",1487.0,2025-03-12
o3-mini-medium,36.59,34.63,38.86,"(-1.96, +2.27)",1221.0,2025-03-12
o3-mini-low,34.58,32.63,36.74,"(-1.95, +2.16)",1205.0,2025-03-12
claude-3.5-sonnet,34.02,31.55,36.39,"(-2.47, +2.37)",682.0,2025-03-12
gpt-4o-2024-11-20,32.33,30.25,34.32,"(-2.08, +1.99)",1216.0,2025-03-12
deepseek-v3,28.63,26.42,30.61,"(-2.21, +1.98)",1007.0,2025-03-12
claude-3.5-haiku,28.23,25.83,30.72,"(-2.40, +2.49)",601.0,2025-03-12
gemini-2.0-flash-001,26.41,24.49,28.41,"(-1.92, +2.00)",1901.0,2025-03-12
claude-3.5-sonnet-20240620,24.54,22.27,27.0,"(-2.27, +2.46)",628.0,2025-03-12
gemini-2.0-flash-lite-001,24.38,22.6,26.4,"(-1.78, +2.02)",2196.0,2025-03-12
grok-2-1212,21.5,19.69,23.38,"(-1.81, +1.88)",898.0,2025-03-12
nova-pro-v1,20.54,18.85,22.27,"(-1.69, +1.73)",905.0,2025-03-12
minimax-01,20.51,18.13,22.65,"(-2.38, +2.14)",370.0,2025-03-12
qwen-2.5-72b-instruct,20.18,18.59,21.76,"(-1.59, +1.58)",1097.0,2025-03-12
gpt-4o-mini,19.87,18.2,21.62,"(-1.67, +1.75)",890.0,2025-03-12
mistral-large-2411,19.59,17.88,21.24,"(-1.71, +1.65)",906.0,2025-03-12
gpt-4-1106-preview,16.06,14.52,17.67,"(-1.54, +1.61)",846.0,2025-03-12
gemma-2-27b-it,15.1,13.55,16.65,"(-1.55, +1.55)",794.0,2025-03-12
command-r-plus-08-2024,14.72,13.28,16.31,"(-1.44, +1.59)",969.0,2025-03-12
wizardlm-2-8x22b,14.65,13.35,16.21,"(-1.30, +1.56)",1028.0,2025-03-12
nova-lite-v1,14.49,13.05,15.95,"(-1.44, +1.46)",994.0,2025-03-12
lfm-7b,13.41,12.11,14.6,"(-1.30, +1.19)",1011.0,2025-03-12
mistral-small-24b-instruct-2501,12.89,11.53,14.29,"(-1.36, +1.40)",998.0,2025-03-12
qwen2.5-32b-instruct,11.43,10.05,12.9,"(-1.38, +1.47)",795.0,2025-03-12
hermes-3-llama-3.1-405b,11.37,10.04,12.75,"(-1.33, +1.38)",771.0,2025-03-12
command-r-08-2024,10.88,9.45,12.34,"(-1.43, +1.46)",796.0,2025-03-12
hermes-3-llama-3.1-70b,10.54,9.22,11.95,"(-1.32, +1.41)",771.0,2025-03-12
nova-micro-v1,10.49,9.24,11.71,"(-1.25, +1.22)",927.0,2025-03-12
gemma-2-9b-it,9.31,8.13,10.55,"(-1.18, +1.24)",751.0,2025-03-12
lfm-40b,8.99,7.92,10.2,"(-1.07, +1.21)",863.0,2025-03-12
command-r7b-12-2024,8.0,6.93,9.09,"(-1.07, +1.09)",882.0,2025-03-12
llama-3.3-70b-instruct,7.29,6.22,8.48,"(-1.07, +1.19)",809.0,2025-03-12
qwen-2.5-7b-instruct,6.31,5.22,7.56,"(-1.09, +1.25)",844.0,2025-03-12
lfm-3b,5.06,4.29,5.8,"(-0.77, +0.74)",776.0,2025-03-12
llama-3.1-nemotron-70b-instruct,4.31,3.69,4.99,"(-0.62, +0.68)",1854.0,2025-03-12
llama-3.1-405b-instruct,1.7,1.32,2.17,"(-0.38, +0.47)",1735.0,2025-03-12
llama-3.1-70b-instruct,1.4,1.11,1.79,"(-0.29, +0.39)",1923.0,2025-03-12
llama-3.1-8b-instruct,0.18,0.12,0.24,"(-0.06, +0.06)",5081.0,2025-03-12
