model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.7-sonnet,50.0,50.0,50.0,"(-0.00, +0.00)",1094.0,2025-03-26
deepseek-chat-v3-0324,49.59,47.26,51.85,"(-2.33, +2.26)",1085.0,2025-03-26
gemini-2.0-pro-exp-02-05,47.56,44.77,50.72,"(-2.79, +3.16)",2372.0,2025-03-26
gemini-2.5-pro-exp-03-25,47.45,44.37,50.49,"(-3.08, +3.04)",2577.0,2025-03-26
deepseek-r1,44.07,41.33,46.87,"(-2.74, +2.80)",1211.0,2025-03-26
o1-high,42.87,40.38,45.15,"(-2.49, +2.28)",1503.0,2025-03-26
o3-mini-high,41.86,39.73,44.32,"(-2.13, +2.46)",1257.0,2025-03-26
o1-medium,41.04,38.61,43.34,"(-2.43, +2.30)",1487.0,2025-03-26
gpt-4.5-preview,40.81,38.4,42.97,"(-2.41, +2.16)",1040.0,2025-03-26
o1-low,37.31,35.09,39.54,"(-2.22, +2.23)",1513.0,2025-03-26
claude-3.5-sonnet,37.04,34.46,39.87,"(-2.58, +2.83)",682.0,2025-03-26
o3-mini-medium,35.2,32.89,37.42,"(-2.31, +2.22)",1221.0,2025-03-26
command-a,34.31,32.32,36.52,"(-1.99, +2.21)",1083.0,2025-03-26
gemini-2.0-flash-thinking-exp-01-21,32.45,29.95,34.98,"(-2.50, +2.53)",2488.0,2025-03-26
o3-mini-low,32.38,30.36,34.5,"(-2.02, +2.12)",1205.0,2025-03-26
gpt-4o-2024-11-20,30.8,28.84,32.58,"(-1.96, +1.78)",1142.0,2025-03-26
claude-3.5-haiku,28.67,25.87,31.34,"(-2.80, +2.67)",601.0,2025-03-26
gemini-2.0-flash-001,27.65,25.72,29.59,"(-1.93, +1.94)",1901.0,2025-03-26
gemma-3-27b-it,26.53,24.56,28.56,"(-1.97, +2.03)",1654.0,2025-03-26
gemini-2.0-flash-lite-001,25.0,23.04,27.13,"(-1.96, +2.13)",2196.0,2025-03-26
deepseek-v3,23.77,21.93,25.5,"(-1.84, +1.73)",1007.0,2025-03-26
claude-3.5-sonnet-20240620,23.46,21.03,25.79,"(-2.43, +2.33)",628.0,2025-03-26
jamba-1.6-large,17.5,15.97,19.06,"(-1.53, +1.56)",859.0,2025-03-26
grok-2-1212,17.09,15.51,18.8,"(-1.58, +1.71)",898.0,2025-03-26
minimax-01,16.73,14.6,19.1,"(-2.13, +2.37)",370.0,2025-03-26
gpt-4o-mini,16.66,14.92,18.22,"(-1.74, +1.56)",830.0,2025-03-26
nova-pro-v1,16.33,14.76,17.96,"(-1.57, +1.63)",905.0,2025-03-26
qwen-2.5-72b-instruct,16.15,14.78,17.61,"(-1.37, +1.46)",1097.0,2025-03-26
mistral-large-2411,14.65,13.18,16.21,"(-1.47, +1.56)",906.0,2025-03-26
gemma-2-27b-it,12.89,11.41,14.39,"(-1.48, +1.50)",794.0,2025-03-26
gpt-4-1106-preview,12.65,11.31,14.08,"(-1.34, +1.43)",840.0,2025-03-26
mistral-small-3.1-24b-instruct-2503,10.8,9.61,12.12,"(-1.19, +1.32)",961.0,2025-03-26
command-r-plus-08-2024,10.18,8.94,11.42,"(-1.24, +1.24)",969.0,2025-03-26
nova-lite-v1,9.78,8.59,10.89,"(-1.19, +1.11)",994.0,2025-03-26
wizardlm-2-8x22b,9.62,8.52,10.71,"(-1.10, +1.09)",1028.0,2025-03-26
lfm-7b,9.31,8.3,10.28,"(-1.01, +0.97)",1011.0,2025-03-26
qwen2.5-32b-instruct,8.85,7.75,10.14,"(-1.10, +1.29)",795.0,2025-03-26
mistral-small-24b-instruct-2501,8.57,7.43,9.77,"(-1.14, +1.20)",998.0,2025-03-26
hermes-3-llama-3.1-405b,8.28,7.17,9.56,"(-1.11, +1.28)",771.0,2025-03-26
hermes-3-llama-3.1-70b,7.77,6.67,8.95,"(-1.10, +1.18)",771.0,2025-03-26
gemma-2-9b-it,7.59,6.53,8.84,"(-1.06, +1.25)",751.0,2025-03-26
command-r-08-2024,6.61,5.49,7.81,"(-1.12, +1.20)",796.0,2025-03-26
nova-micro-v1,6.6,5.7,7.54,"(-0.90, +0.94)",927.0,2025-03-26
lfm-40b,5.81,5.0,6.7,"(-0.81, +0.89)",863.0,2025-03-26
llama-3.3-70b-instruct,5.37,4.39,6.4,"(-0.98, +1.03)",809.0,2025-03-26
command-r7b-12-2024,4.99,4.14,5.89,"(-0.85, +0.90)",882.0,2025-03-26
lfm-3b,3.59,2.95,4.26,"(-0.64, +0.67)",776.0,2025-03-26
qwen-2.5-7b-instruct,3.58,2.82,4.57,"(-0.76, +0.99)",844.0,2025-03-26
olmo-2-0325-32b-instruct,3.33,2.78,3.96,"(-0.55, +0.63)",890.0,2025-03-26
jamba-1.6-mini,2.57,2.04,3.17,"(-0.53, +0.60)",920.0,2025-03-26
llama-3.1-nemotron-70b-instruct,2.34,1.94,2.76,"(-0.40, +0.42)",1854.0,2025-03-26
llama-3.1-405b-instruct,0.9,0.68,1.19,"(-0.22, +0.29)",1735.0,2025-03-26
llama-3.1-70b-instruct,0.54,0.41,0.69,"(-0.13, +0.15)",1923.0,2025-03-26
llama-3.1-8b-instruct,0.08,0.05,0.1,"(-0.03, +0.02)",5081.0,2025-03-26
