model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-03-28
deepseek-chat-v3-0324,49.73,47.69,51.77,1085.0,1112.132230816735,1097.9146721565453,1126.3242675256113,"(-14.22, +14.19)","(-2.04, +2.04)",2025-03-28
gemini-2.0-pro-exp-02-05,47.14,44.49,50.59,2372.0,1094.1115568480375,1075.5884791961416,1118.0963280418227,"(-18.52, +23.98)","(-2.65, +3.45)",2025-03-28
gemini-2.5-pro-exp-03-25,47.06,44.22,49.89,2577.0,1093.5150384671424,1073.6882204739418,1113.2574824989536,"(-19.83, +19.74)","(-2.84, +2.83)",2025-03-28
chatgpt-4o-latest(2025-03-26),46.37,44.54,48.56,1111.0,1088.7518710517104,1075.937189200044,1103.9574183395823,"(-12.81, +15.21)","(-1.83, +2.19)",2025-03-28
deepseek-r1,44.26,41.56,46.4,1211.0,1073.9712340548285,1054.756241297305,1088.9173208951738,"(-19.21, +14.95)","(-2.70, +2.14)",2025-03-28
o1-high,42.54,40.28,44.5,1503.0,1061.7925759859465,1045.5882065893668,1075.624948174148,"(-16.20, +13.83)","(-2.26, +1.96)",2025-03-28
o3-mini-high,41.64,39.44,43.81,1257.0,1055.3262700445846,1039.4821691427803,1070.7583510264135,"(-15.84, +15.43)","(-2.20, +2.17)",2025-03-28
o1-medium,40.7,38.62,42.88,1487.0,1048.617249012998,1033.5209540821247,1064.184615707378,"(-15.10, +15.57)","(-2.08, +2.18)",2025-03-28
gpt-4.5-preview,40.64,38.64,43.07,1040.0,1048.1663610422129,1033.6624367284996,1065.5576527427418,"(-14.50, +17.39)","(-2.00, +2.43)",2025-03-28
claude-3.5-sonnet,37.06,34.23,39.66,682.0,1021.9850820639908,1000.5611993069136,1041.098098374821,"(-21.42, +19.11)","(-2.83, +2.60)",2025-03-28
o1-low,36.9,35.06,38.82,1513.0,1020.7829079596006,1006.8928168184785,1034.9686757814343,"(-13.89, +14.19)","(-1.84, +1.92)",2025-03-28
o3-mini-medium,34.86,32.56,36.72,1221.0,1005.4123429660631,987.4745676425462,1019.4560018868243,"(-17.94, +14.04)","(-2.30, +1.86)",2025-03-28
command-a,34.53,32.14,36.26,1083.0,1002.8278210703988,984.1595259558054,1015.9714930325367,"(-18.67, +13.14)","(-2.39, +1.73)",2025-03-28
gemini-2.0-flash-thinking-exp-01-21,32.09,29.76,34.68,2488.0,983.7427505322279,964.8604882044451,1004.0041158113578,"(-18.88, +20.26)","(-2.33, +2.59)",2025-03-28
o3-mini-low,31.98,29.97,33.66,1205.0,982.9038303776706,966.5796078970089,996.1149643728884,"(-16.32, +13.21)","(-2.01, +1.68)",2025-03-28
gpt-4o-2024-11-20,30.74,29.23,32.76,1142.0,972.8500842386859,960.3997124066617,989.0959056390221,"(-12.45, +16.25)","(-1.51, +2.02)",2025-03-28
claude-3.5-haiku,28.54,25.86,31.38,601.0,954.5398451138917,931.069956837729,978.0780171896138,"(-23.47, +23.54)","(-2.68, +2.84)",2025-03-28
gemini-2.0-flash-001,27.4,25.61,29.63,1901.0,944.6957507437794,928.7306868400854,963.6983683331911,"(-15.97, +19.00)","(-1.79, +2.23)",2025-03-28
gemma-3-27b-it,26.33,24.3,28.1,1654.0,935.2687752425488,916.5896013006784,950.7805712444924,"(-18.68, +15.51)","(-2.03, +1.77)",2025-03-28
gemini-2.0-flash-lite-001,24.7,22.59,26.11,2196.0,920.3983885183482,900.0740768066792,933.3140541340994,"(-20.32, +12.92)","(-2.11, +1.41)",2025-03-28
deepseek-v3,23.75,21.75,25.5,1007.0,911.3598603347523,891.5602062998,927.7401529510878,"(-19.80, +16.38)","(-2.00, +1.75)",2025-03-28
claude-3.5-sonnet-20240620,23.38,21.43,25.65,628.0,907.770404863473,888.2782850567719,929.1358790381043,"(-19.49, +21.37)","(-1.95, +2.27)",2025-03-28
jamba-1.6-large,17.63,16.09,19.47,859.0,846.1896219726091,827.0910864851181,867.3519772445669,"(-19.10, +21.16)","(-1.54, +1.84)",2025-03-28
grok-2-1212,17.08,15.3,18.87,898.0,839.5256287506231,816.6767548656493,860.6740307051148,"(-22.85, +21.15)","(-1.78, +1.79)",2025-03-28
minimax-01,16.76,14.68,19.26,370.0,835.6131057419383,808.2830077130287,865.0378407282448,"(-27.33, +29.42)","(-2.08, +2.50)",2025-03-28
gpt-4o-mini,16.68,15.24,18.23,830.0,834.6390663508572,815.8886206891292,853.2858202800508,"(-18.75, +18.65)","(-1.44, +1.55)",2025-03-28
nova-pro-v1,16.34,15.08,17.66,905.0,830.279776551989,813.6980258083183,846.596140246645,"(-16.58, +16.32)","(-1.26, +1.32)",2025-03-28
qwen-2.5-72b-instruct,16.13,14.36,17.53,1097.0,827.571046223638,803.7710289309804,845.0443934625829,"(-23.80, +17.47)","(-1.77, +1.40)",2025-03-28
mistral-large-2411,14.6,13.26,15.85,906.0,807.1209671684252,787.7194223637897,823.9723493433816,"(-19.40, +16.85)","(-1.34, +1.25)",2025-03-28
gemma-2-27b-it,12.91,11.71,14.36,794.0,782.3956790899101,763.0918158942563,803.7758490949107,"(-19.30, +21.38)","(-1.20, +1.45)",2025-03-28
gpt-4-1106-preview,12.54,11.48,13.9,840.0,776.6540014036552,759.1779843095544,797.2693350090419,"(-17.48, +20.62)","(-1.06, +1.36)",2025-03-28
mistral-small-3.1-24b-instruct-2503,10.74,9.7,12.05,961.0,746.0877099989885,726.4454750801219,768.6233735731402,"(-19.64, +22.54)","(-1.04, +1.31)",2025-03-28
command-r-plus-08-2024,10.11,9.15,11.15,969.0,734.5100160500131,715.1967208861898,753.5099282084935,"(-19.31, +19.00)","(-0.96, +1.04)",2025-03-28
nova-lite-v1,9.72,8.64,10.74,994.0,726.9240518537403,704.3530554680278,746.1430158254817,"(-22.57, +19.22)","(-1.08, +1.02)",2025-03-28
wizardlm-2-8x22b,9.49,8.38,10.46,1028.0,722.3235833875995,698.5043733906658,740.9197906115094,"(-23.82, +18.60)","(-1.11, +0.97)",2025-03-28
lfm-7b,9.27,8.2,10.32,1011.0,717.6624977839951,694.4587369516316,738.363868069762,"(-23.20, +20.70)","(-1.07, +1.05)",2025-03-28
qwen2.5-32b-instruct,8.85,7.77,10.35,795.0,708.8441126938774,684.1640909707411,738.8951108917495,"(-24.68, +30.05)","(-1.08, +1.50)",2025-03-28
mistral-small-24b-instruct-2501,8.59,7.43,9.73,998.0,703.2917698384565,675.7813469301691,727.0170891240806,"(-27.51, +23.73)","(-1.16, +1.14)",2025-03-28
hermes-3-llama-3.1-405b,8.26,7.01,9.64,771.0,695.8180092479372,664.8738834895513,725.2200865952933,"(-30.94, +29.40)","(-1.25, +1.38)",2025-03-28
hermes-3-llama-3.1-70b,7.73,6.65,8.86,771.0,683.209521865276,655.0950869938632,709.1073502152814,"(-28.11, +25.90)","(-1.08, +1.13)",2025-03-28
gemma-2-9b-it,7.67,6.51,8.7,751.0,681.6850084186694,651.1492191533888,705.5438048052232,"(-30.54, +23.86)","(-1.16, +1.03)",2025-03-28
nova-micro-v1,6.62,5.66,7.5,927.0,654.3526155963275,625.1494731006251,677.6513610934674,"(-29.20, +23.30)","(-0.96, +0.88)",2025-03-28
command-r-08-2024,6.52,5.62,7.65,796.0,651.3063728919178,623.9691739980582,681.3260606032189,"(-27.34, +30.02)","(-0.90, +1.13)",2025-03-28
lfm-40b,5.76,4.89,6.67,863.0,628.3248771801586,598.5705369203076,655.7381140908661,"(-29.75, +27.41)","(-0.87, +0.91)",2025-03-28
llama-3.3-70b-instruct,5.34,4.32,6.32,809.0,614.5325873326657,576.0234856448993,645.5716281814223,"(-38.51, +31.04)","(-1.02, +0.98)",2025-03-28
command-r7b-12-2024,4.95,4.19,5.84,882.0,600.8053977205449,570.5022094870789,631.069521362621,"(-30.30, +30.26)","(-0.76, +0.89)",2025-03-28
lfm-3b,3.57,3.02,4.19,776.0,541.5438939520401,511.51438468079795,570.1858068270576,"(-30.03, +28.64)","(-0.55, +0.62)",2025-03-28
