model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,82.57,80.54,84.1,2577.0,1384.1790735410857,1360.7967718246714,1403.4071089327465,"(-23.38, +19.23)","(-2.03, +1.53)",2025-04-02
gemini-2.0-pro-exp-02-05,74.99,72.99,76.95,2372.0,1304.711522092245,1286.6593376813998,1323.4557058450598,"(-18.05, +18.74)","(-2.00, +1.96)",2025-04-02
o1-high,63.48,61.4,65.81,1503.0,1210.0179970836239,1194.6378075044586,1227.7378382126328,"(-15.38, +17.72)","(-2.08, +2.33)",2025-04-02
gemini-2.0-flash-thinking-exp-01-21,62.32,59.82,64.48,2488.0,1201.3752899505187,1183.1137888616909,1217.5704726816477,"(-18.26, +16.20)","(-2.50, +2.16)",2025-04-02
o1-medium,59.61,57.16,61.62,1487.0,1181.5892313646168,1164.1163411470332,1196.2338728676627,"(-17.47, +14.64)","(-2.45, +2.01)",2025-04-02
o3-mini-high,58.24,55.22,60.56,1257.0,1171.8040065963373,1150.3998815381847,1188.5053598437325,"(-21.40, +16.70)","(-3.02, +2.32)",2025-04-02
o1-low,55.97,53.4,58.02,1513.0,1155.6570443835976,1137.6397104126297,1170.1865242667932,"(-18.02, +14.53)","(-2.57, +2.05)",2025-04-02
deepseek-chat-v3-0324,52.99,50.38,56.1,1085.0,1134.7761066222288,1116.657249450412,1156.5812974400474,"(-18.12, +21.81)","(-2.61, +3.11)",2025-04-02
chatgpt-4o-latest(2025-03-26),52.41,50.16,54.67,1111.0,1130.7602956113774,1115.0876486267862,1146.554273121836,"(-15.67, +15.79)","(-2.25, +2.26)",2025-04-02
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-02
o3-mini-medium,48.64,46.39,51.25,1221.0,1104.573929107918,1088.8551362175522,1122.7158856526482,"(-15.72, +18.14)","(-2.25, +2.61)",2025-04-02
gemini-2.0-flash-001,47.6,44.78,50.46,1901.0,1097.2854425821806,1077.5618049905854,1117.1638621525062,"(-19.72, +19.88)","(-2.82, +2.86)",2025-04-02
deepseek-r1,45.43,42.99,47.67,1211.0,1082.154334118955,1064.9877705244173,1097.803503673428,"(-17.17, +15.65)","(-2.44, +2.24)",2025-04-02
gemini-2.0-flash-lite-001,43.78,41.72,46.82,2196.0,1070.5406940622343,1055.9575644013896,1091.9059670439237,"(-14.58, +21.37)","(-2.06, +3.04)",2025-04-02
o3-mini-low,42.65,41.04,45.32,1205.0,1062.5705719460043,1051.0350963216117,1081.3778683734774,"(-11.54, +18.81)","(-1.61, +2.67)",2025-04-02
gpt-4.5-preview,41.98,39.9,44.33,1040.0,1057.7824903084397,1042.8660464616707,1074.4115755052653,"(-14.92, +16.63)","(-2.08, +2.35)",2025-04-02
gemma-3-27b-it,39.32,37.15,41.46,1654.0,1038.6391207113807,1022.6738152943885,1054.0890116056714,"(-15.97, +15.45)","(-2.17, +2.14)",2025-04-02
command-a,33.42,31.28,35.51,1083.0,994.2797966930578,977.2781113265106,1010.3586801208321,"(-17.00, +16.08)","(-2.14, +2.09)",2025-04-02
gpt-4o-2024-11-20,30.33,28.52,31.93,1142.0,969.567814437235,954.395779659845,982.516617962871,"(-15.17, +12.95)","(-1.81, +1.60)",2025-04-02
deepseek-v3,21.95,20.43,23.42,1007.0,893.6568255415161,877.8540565072595,908.2114855514137,"(-15.80, +14.55)","(-1.52, +1.47)",2025-04-02
claude-3.5-sonnet,21.45,19.16,23.32,682.0,888.544356254555,863.8680307198871,907.2599903702832,"(-24.68, +18.72)","(-2.29, +1.87)",2025-04-02
claude-3.5-sonnet-20240620,14.01,12.22,15.82,628.0,798.7460364072458,771.4874022850324,823.5690434466248,"(-27.26, +24.82)","(-1.79, +1.81)",2025-04-02
grok-2-1212,13.62,12.54,15.01,898.0,793.1601265789557,776.5605094215524,812.7811428822962,"(-16.60, +19.62)","(-1.08, +1.39)",2025-04-02
qwen-2.5-72b-instruct,13.33,12.09,14.84,1097.0,788.7591417479309,769.3915407784344,810.5227583848106,"(-19.37, +21.76)","(-1.24, +1.51)",2025-04-02
nova-pro-v1,12.81,11.78,14.53,905.0,780.909378016378,764.1696696424011,806.1425680445484,"(-16.74, +25.23)","(-1.03, +1.72)",2025-04-02
claude-3.5-haiku,12.04,10.53,13.35,601.0,768.5305502481417,742.3033143897619,789.0976975532215,"(-26.23, +20.57)","(-1.51, +1.31)",2025-04-02
gpt-4-1106-preview,12.02,10.57,13.59,840.0,768.277217461813,743.1255701550446,792.7222977926084,"(-25.15, +24.45)","(-1.45, +1.57)",2025-04-02
mistral-large-2411,10.74,9.46,11.89,906.0,746.0825224634276,721.5234399344016,766.0912039837649,"(-24.56, +20.01)","(-1.28, +1.15)",2025-04-02
wizardlm-2-8x22b,10.7,9.7,12.07,1028.0,745.3440464019054,726.3969697731632,768.9683796769248,"(-18.95, +23.62)","(-1.00, +1.37)",2025-04-02
command-r-plus-08-2024,9.33,7.89,10.57,969.0,718.9515781584614,687.0175578365505,743.0733906973159,"(-31.93, +24.12)","(-1.44, +1.24)",2025-04-02
gpt-4o-mini,9.25,8.27,10.34,830.0,717.357972566625,695.9178630081343,738.7575404738399,"(-21.44, +21.40)","(-0.98, +1.09)",2025-04-02
jamba-1.6-large,9.07,8.18,9.88,859.0,713.4655277067651,693.9842159218528,729.9528969240772,"(-19.48, +16.49)","(-0.89, +0.81)",2025-04-02
mistral-small-3.1-24b-instruct-2503,8.26,7.17,9.36,961.0,695.8461497901837,669.1225698218958,719.4848478247945,"(-26.72, +23.64)","(-1.09, +1.10)",2025-04-02
nova-lite-v1,8.06,7.26,9.15,994.0,691.1326241366683,671.4366764926176,715.2889511647614,"(-19.70, +24.16)","(-0.80, +1.09)",2025-04-02
lfm-7b,8.02,7.02,8.94,1011.0,690.2676617120394,665.304176826647,710.726420005041,"(-24.96, +20.46)","(-1.00, +0.92)",2025-04-02
qwen2.5-32b-instruct,7.41,6.36,8.31,795.0,675.1771157162416,646.7056670487844,696.8779660586708,"(-28.47, +21.70)","(-1.05, +0.90)",2025-04-02
gemma-2-27b-it,7.22,6.28,8.2,794.0,670.3255465430224,644.5504254524628,694.4338580333437,"(-25.78, +24.11)","(-0.94, +0.98)",2025-04-02
minimax-01,6.23,5.39,7.19,370.0,642.9054766435931,616.1066473140843,669.5569517534399,"(-26.80, +26.65)","(-0.84, +0.96)",2025-04-02
hermes-3-llama-3.1-405b,6.16,4.99,7.18,771.0,640.8264164656757,601.9530896934112,669.3559500213407,"(-38.87, +28.53)","(-1.17, +1.02)",2025-04-02
mistral-small-24b-instruct-2501,6.16,5.19,6.94,998.0,640.8905636907699,609.3722957650816,662.958404467349,"(-31.52, +22.07)","(-0.97, +0.78)",2025-04-02
llama-3.1-nemotron-70b-instruct,5.5,4.67,6.18,1854.0,620.0960096491589,590.2209434846101,641.4471515851498,"(-29.88, +21.35)","(-0.83, +0.68)",2025-04-02
nova-micro-v1,5.26,4.46,6.03,927.0,611.8074240095552,581.8561930040174,636.9234747585119,"(-29.95, +25.12)","(-0.80, +0.77)",2025-04-02
hermes-3-llama-3.1-70b,5.06,4.05,6.1,771.0,604.5345869305229,563.9678394545042,639.0792286455073,"(-40.57, +34.54)","(-1.01, +1.04)",2025-04-02
lfm-40b,4.9,4.12,5.79,863.0,598.6936803496359,567.1814658796467,629.565166686704,"(-31.51, +30.87)","(-0.78, +0.89)",2025-04-02
command-r-08-2024,4.42,3.55,5.3,796.0,579.9065161503851,540.2602599943816,613.0954459370055,"(-39.65, +33.19)","(-0.87, +0.88)",2025-04-02
llama-3.3-70b-instruct,4.24,3.46,5.11,809.0,572.5444121624287,535.7765543537272,606.4273830412795,"(-36.77, +33.88)","(-0.78, +0.87)",2025-04-02
