git model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
deepseek-chat-v3-0324,54.52,51.52,57.23,1085.0,1145.5244158846253,1124.560036392939,1164.5964680085974,"(-20.96, +19.07)","(-3.00, +2.71)",2025-04-02
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-02
gemini-2.5-pro-exp-03-25,49.79,46.49,53.77,2577.0,1112.5185202532002,1089.5355609121732,1140.2277234492365,"(-22.98, +27.71)","(-3.30, +3.98)",2025-04-02
gemini-2.0-pro-exp-02-05,49.42,46.14,53.12,2372.0,1109.9667601215579,1087.129178844307,1135.7002768316402,"(-22.84, +25.73)","(-3.28, +3.70)",2025-04-02
chatgpt-4o-latest(2025-03-26),46.74,44.0,49.09,1111.0,1091.3181864899977,1072.071968775742,1107.6524500379091,"(-19.25, +16.33)","(-2.74, +2.35)",2025-04-02
deepseek-r1,46.13,42.64,48.71,1211.0,1087.0249479330048,1062.4747584617405,1105.054747271036,"(-24.55, +18.03)","(-3.49, +2.58)",2025-04-02
o1-high,44.97,42.53,47.28,1503.0,1078.9455135149597,1061.707532514023,1095.0882821755438,"(-17.24, +16.14)","(-2.44, +2.31)",2025-04-02
o3-mini-high,44.92,42.65,46.98,1257.0,1078.5947156789634,1062.5425579646057,1092.9931285212128,"(-16.05, +14.40)","(-2.27, +2.06)",2025-04-02
o1-medium,43.2,40.42,46.23,1487.0,1066.4603649756868,1046.6165475643336,1087.7284741172145,"(-19.84, +21.27)","(-2.78, +3.03)",2025-04-02
gpt-4.5-preview,43.14,40.62,45.25,1040.0,1066.0082284414343,1048.0142386591272,1080.9193632620381,"(-17.99, +14.91)","(-2.52, +2.11)",2025-04-02
o1-low,37.39,35.15,39.7,1513.0,1024.4556008554116,1007.5914724191462,1041.364486524479,"(-16.86, +16.91)","(-2.24, +2.31)",2025-04-02
o3-mini-medium,35.99,33.82,38.62,1221.0,1013.9579023959534,997.4033427244864,1033.5302590732906,"(-16.55, +19.57)","(-2.17, +2.63)",2025-04-02
claude-3.5-sonnet,33.7,31.1,36.73,682.0,996.4683439748273,975.8510681160319,1019.511915670099,"(-20.62, +23.04)","(-2.60, +3.03)",2025-04-02
command-a,30.98,28.76,32.78,1083.0,974.8531535356892,956.4563305814188,989.2057916187487,"(-18.40, +14.35)","(-2.22, +1.80)",2025-04-02
o3-mini-low,30.41,28.23,32.84,1205.0,970.171832361092,951.9457980600629,989.6969672452972,"(-18.23, +19.53)","(-2.18, +2.43)",2025-04-02
gemini-2.0-flash-thinking-exp-01-21,27.67,25.4,30.34,2488.0,947.0532617889725,926.8307400906103,969.6000984646282,"(-20.22, +22.55)","(-2.27, +2.67)",2025-04-02
gpt-4o-2024-11-20,27.52,25.66,29.16,1142.0,945.7978996619751,929.1939074875671,959.8168857448629,"(-16.60, +14.02)","(-1.86, +1.64)",2025-04-02
claude-3.5-haiku,23.08,20.42,25.75,601.0,904.842614820447,877.6667762164881,930.0022583178476,"(-27.18, +25.16)","(-2.66, +2.67)",2025-04-02
gemini-2.0-flash-001,22.52,20.78,24.46,1901.0,899.3024424656622,881.482144691853,918.1348709198468,"(-17.82, +18.83)","(-1.74, +1.94)",2025-04-02
claude-3.5-sonnet-20240620,21.58,19.39,24.23,628.0,889.8521529053377,866.4720154276764,915.9230496156727,"(-23.38, +26.07)","(-2.19, +2.65)",2025-04-02
deepseek-v3,20.26,18.54,22.27,1007.0,875.9669307058558,856.8795190353062,896.8529022226365,"(-19.09, +20.89)","(-1.72, +2.01)",2025-04-02
gemma-3-27b-it,19.58,17.92,21.04,1654.0,868.531386874399,849.6047704245128,884.2507979944413,"(-18.93, +15.72)","(-1.66, +1.46)",2025-04-02
gemini-2.0-flash-lite-001,17.38,15.86,19.03,2196.0,843.1921795800612,824.1130353673115,862.4652498081016,"(-19.08, +19.27)","(-1.52, +1.65)",2025-04-02
grok-2-1212,12.04,10.7,13.25,898.0,768.5360383940333,745.4753464784241,787.5342507070391,"(-23.06, +19.00)","(-1.34, +1.21)",2025-04-02
jamba-1.6-large,10.98,9.82,12.3,859.0,750.4648166932501,728.8597494625218,772.7059458528837,"(-21.61, +22.24)","(-1.16, +1.32)",2025-04-02
minimax-01,10.8,9.18,12.4,370.0,747.2049667390332,715.8438111717461,774.3960808614979,"(-31.36, +27.19)","(-1.62, +1.60)",2025-04-02
nova-pro-v1,10.43,9.29,11.51,905.0,740.5365001853476,718.1649412476673,759.670754630047,"(-22.37, +19.13)","(-1.14, +1.08)",2025-04-02
gpt-4o-mini,10.15,8.97,11.19,830.0,735.1073171977308,711.5185304406305,754.132659975512,"(-23.59, +19.03)","(-1.18, +1.04)",2025-04-02
qwen-2.5-72b-instruct,9.88,8.83,10.91,1097.0,729.879497997975,708.4280315700157,749.2771364154264,"(-21.45, +19.40)","(-1.05, +1.03)",2025-04-02
mistral-large-2411,9.11,8.19,10.15,906.0,714.3773140090287,694.267662770634,735.1235118509906,"(-20.11, +20.75)","(-0.92, +1.04)",2025-04-02
gemma-2-27b-it,8.48,7.27,9.58,794.0,700.8467506249564,671.6098334417477,724.000421442825,"(-29.24, +23.15)","(-1.21, +1.10)",2025-04-02
gpt-4-1106-preview,8.38,7.46,9.38,840.0,698.4060893327659,676.5546713704878,719.9564778921944,"(-21.85, +21.55)","(-0.92, +1.00)",2025-04-02
qwen2.5-32b-instruct,5.98,4.98,7.27,795.0,635.4346689970646,601.6730617248872,671.7306107332918,"(-33.76, +36.30)","(-1.00, +1.29)",2025-04-02
command-r-plus-08-2024,5.82,4.96,6.65,969.0,630.447061548759,601.072690999736,655.1019397177176,"(-29.37, +24.65)","(-0.86, +0.83)",2025-04-02
hermes-3-llama-3.1-405b,5.53,4.54,6.67,771.0,621.0413254081622,585.0322288214015,655.7179159647443,"(-36.01, +34.68)","(-0.99, +1.14)",2025-04-02
mistral-small-3.1-24b-instruct-2503,5.44,4.68,6.3,961.0,617.7889833231534,590.34134634893,645.1085780688135,"(-27.45, +27.32)","(-0.76, +0.86)",2025-04-02
nova-lite-v1,4.95,4.19,5.73,994.0,600.5779939980725,570.2369499729579,627.6238862334758,"(-30.34, +27.05)","(-0.76, +0.78)",2025-04-02
lfm-7b,4.75,4.15,5.32,1011.0,593.0079495554423,568.6071457730683,613.729092628311,"(-24.40, +20.72)","(-0.60, +0.57)",2025-04-02
wizardlm-2-8x22b,4.71,3.91,5.25,1028.0,591.4945588514908,558.0177901482617,611.3168467965893,"(-33.48, +19.82)","(-0.80, +0.54)",2025-04-02
hermes-3-llama-3.1-70b,4.34,3.64,5.31,771.0,576.7352881067035,544.9843595303524,613.6735251251533,"(-31.75, +36.94)","(-0.70, +0.97)",2025-04-02
mistral-small-24b-instruct-2501,4.26,3.54,5.17,998.0,573.2161362268953,539.9175453223569,608.6256934342454,"(-33.30, +35.41)","(-0.72, +0.91)",2025-04-02
gemma-2-9b-it,4.17,3.43,5.26,751.0,569.3891762935336,534.3413415624768,611.7410428745786,"(-35.05, +42.35)","(-0.74, +1.09)",2025-04-02
command-r-08-2024,3.25,2.43,4.03,796.0,524.4298227609082,472.80466911796066,563.3734661912949,"(-51.63, +38.94)","(-0.82, +0.78)",2025-04-02
nova-micro-v1,3.2,2.75,3.84,927.0,521.7348273705018,494.3874880586207,554.3229556981067,"(-27.35, +32.59)","(-0.45, +0.64)",2025-04-02
llama-3.3-70b-instruct,3.2,2.64,3.98,809.0,521.5578673884266,487.40477549247515,560.8430788498256,"(-34.15, +39.29)","(-0.56, +0.78)",2025-04-02
lfm-40b,2.84,2.28,3.25,863.0,500.3500558209148,461.30738502970195,524.7664613063596,"(-39.04, +24.42)","(-0.56, +0.41)",2025-04-02
command-r7b-12-2024,2.44,1.87,3.01,882.0,473.20752604665415,426.4708255368337,510.4738745274991,"(-46.74, +37.27)","(-0.57, +0.57)",2025-04-02
lfm-3b,1.86,1.37,2.2,776.0,424.95565153587756,370.9521903067187,454.4304482226517,"(-54.00, +29.47)","(-0.49, +0.34)",2025-04-02
olmo-2-0325-32b-instruct,1.52,1.14,1.84,890.0,389.7509241861467,338.7551555225849,423.2248902776656,"(-51.00, +33.47)","(-0.38, +0.32)",2025-04-02
qwen-2.5-7b-instruct,1.52,1.18,2.05,844.0,389.78452186856214,344.25421141621814,442.4931078780603,"(-45.53, +52.71)","(-0.34, +0.53)",2025-04-02
jamba-1.6-mini,1.32,0.95,1.63,920.0,364.1527144486987,307.3788196046071,401.81900923533686,"(-56.77, +37.67)","(-0.37, +0.31)",2025-04-02
llama-3.1-nemotron-70b-instruct,1.09,0.87,1.28,1854.0,330.15707434403794,291.0309368413859,359.596066226358,"(-39.13, +29.44)","(-0.22, +0.19)",2025-04-02
llama-3.1-405b-instruct,0.5,0.37,0.7,1735.0,192.7810104159546,140.98744086960647,254.4536369434305,"(-51.79, +61.67)","(-0.13, +0.20)",2025-04-02
llama-3.1-70b-instruct,0.23,0.15,0.32,1923.0,57.125878831453406,-10.868807690924655,115.52626344024965,"(-67.99, +58.40)","(-0.08, +0.09)",2025-04-02
llama-3.1-8b-instruct,0.03,0.02,0.05,5081.0,-275.47900044604387,-345.8162498412574,-224.40938849075937,"(-70.34, +51.07)","(-0.01, +0.02)",2025-04-02
