model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
deepseek-chat-v3-0324,60.51,58.69,62.91,1085.0,1188.1383638163638,1174.9698744577943,1205.7798856206293,"(-13.17, +17.64)","(-1.82, +2.40)",2025-04-06
claude-3.7-sonnet(thinking),56.11,54.08,58.78,1248.0,1156.6801760690346,1142.4337283239715,1175.684084641569,"(-14.25, +19.00)","(-2.03, +2.67)",2025-04-06
quasar-alpha,54.47,52.04,56.94,909.0,1145.1373034975609,1128.1645561975533,1162.517084578959,"(-16.97, +17.38)","(-2.43, +2.47)",2025-04-06
deepseek-r1,51.51,49.09,54.77,1218.0,1124.4969073131456,1107.6834329933831,1147.2158139863643,"(-16.81, +22.72)","(-2.42, +3.26)",2025-04-06
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1114.0,1114.0,1114.0,"(-0.00, +0.00)","(-0.00, +0.00)",2025-04-06
gemini-2.5-pro-exp-03-25,49.36,46.08,53.34,2577.0,1109.5645077826907,1086.712203868757,1137.2691795098613,"(-22.85, +27.70)","(-3.28, +3.98)",2025-04-06
gemini-2.0-pro-exp-02-05,48.84,46.29,52.16,2372.0,1105.9118734759277,1088.1636191409596,1129.0431284630072,"(-17.75, +23.13)","(-2.55, +3.32)",2025-04-06
gpt-4.5-preview,47.72,44.92,50.0,1040.0,1098.1114604888123,1078.598378565519,1114.021713369196,"(-19.51, +15.91)","(-2.80, +2.28)",2025-04-06
o1-high,45.98,43.49,48.4,1512.0,1085.9922110931598,1068.4936333817907,1102.8990729393136,"(-17.50, +16.91)","(-2.49, +2.42)",2025-04-06
o3-mini-high,45.88,43.39,48.17,1265.0,1085.2961632670595,1067.8331648435237,1101.2555428135056,"(-17.46, +15.96)","(-2.49, +2.29)",2025-04-06
chatgpt-4o-latest(2025-03-26),44.6,42.34,47.37,1111.0,1076.34967240659,1060.3389855429084,1095.7257472772199,"(-16.01, +19.38)","(-2.26, +2.77)",2025-04-06
o1-medium,43.49,41.2,45.81,1490.0,1068.4815935984768,1052.2196553710403,1084.789780738578,"(-16.26, +16.31)","(-2.29, +2.32)",2025-04-06
o1-low,37.41,34.89,39.75,1513.0,1024.569464813907,1005.6038049869538,1041.7265726541016,"(-18.97, +17.16)","(-2.52, +2.34)",2025-04-06
o3-mini-medium,36.44,33.99,39.11,1221.0,1017.3306251050102,998.6866046425446,1037.072087185492,"(-18.64, +19.74)","(-2.45, +2.67)",2025-04-06
command-a,36.29,34.24,38.94,1083.0,1016.220721154912,1000.6042788371215,1035.848229546424,"(-15.62, +19.63)","(-2.05, +2.65)",2025-04-06
qwen-max,35.42,32.83,37.75,1420.0,1009.6479456089049,989.6477744609651,1027.1080404815903,"(-20.00, +17.46)","(-2.59, +2.33)",2025-04-06
gpt-4o-2024-11-20,32.98,30.95,34.6,1142.0,990.7988357163969,974.5788588676256,1003.3626605205748,"(-16.22, +12.56)","(-2.03, +1.62)",2025-04-06
qwq-32b,32.15,29.98,33.96,1517.0,984.2372803418365,966.6332325290763,998.4775920490508,"(-17.60, +14.24)","(-2.17, +1.81)",2025-04-06
claude-3.5-sonnet,31.87,28.99,33.72,682.0,982.0035565866465,958.3901370452486,996.6127988920916,"(-23.61, +14.61)","(-2.88, +1.85)",2025-04-06
o3-mini-low,30.58,28.2,32.94,1205.0,971.6187738874966,951.6812959724094,990.4926145561318,"(-19.94, +18.87)","(-2.38, +2.36)",2025-04-06
qwen-plus,29.49,27.63,31.16,1346.0,962.5454721520861,946.6934611007263,976.2896600679209,"(-15.85, +13.74)","(-1.86, +1.67)",2025-04-06
gemini-2.0-flash-thinking-exp-01-21,27.59,25.64,29.92,2497.0,946.3816153733743,929.0176972752031,966.1122794740551,"(-17.36, +19.73)","(-1.95, +2.33)",2025-04-06
deepseek-v3,24.97,23.3,26.99,1007.0,922.8485508151132,907.0428088591337,941.1604304809816,"(-15.81, +18.31)","(-1.67, +2.02)",2025-04-06
gemini-2.0-flash-001,22.27,20.67,24.5,1901.0,896.8109822475332,880.3163541808461,918.5079518937698,"(-16.49, +21.70)","(-1.60, +2.23)",2025-04-06
claude-3.5-haiku,21.89,19.17,24.54,601.0,893.0444040269009,864.0175216404643,918.8840706075538,"(-29.03, +25.84)","(-2.72, +2.65)",2025-04-06
claude-3.5-sonnet-20240620,20.55,18.62,23.03,628.0,879.1142477148102,857.8298873644004,904.3446257734352,"(-21.28, +25.23)","(-1.93, +2.48)",2025-04-06
gemma-3-27b-it,19.37,17.87,20.89,1655.0,866.2452998473348,849.0432784611872,882.7014545394093,"(-17.20, +16.46)","(-1.50, +1.52)",2025-04-06
