model,score,rating_q025,rating_q975,avg_tokens,elo_score,elo_rating_q025,elo_rating_q975,elo_CI,CI,date
gemini-2.5-pro-exp-03-25,85.71,84.84,86.66,2577.0,1311.2605809728561,1296.294875968454,1337.2025588998508,"(-14.97, +25.94)","(-0.87, +0.95)",2025-04-10
gemini-2.0-pro-exp-02-05,77.88,76.75,78.66,2372.0,1218.7028641008633,1204.5968372318857,1238.7336901153242,"(-14.11, +20.03)","(-1.13, +0.78)",2025-04-10
grok-3-beta,70.81,69.64,72.09,1824.0,1153.922792381239,1141.3374989094348,1176.919562022575,"(-12.59, +23.00)","(-1.17, +1.28)",2025-04-10
gemini-2.0-flash-thinking-exp-01-21,68.44,67.65,69.97,2497.0,1134.4615891968047,1125.2915981759238,1159.0593470325712,"(-9.17, +24.60)","(-0.79, +1.53)",2025-04-10
deepseek-chat-v3-0324,65.62,64.06,66.89,1085.0,1112.3007433019375,1097.5602936377736,1134.2391481849324,"(-14.74, +21.94)","(-1.56, +1.27)",2025-04-10
grok-3-mini-beta,63.91,62.95,65.31,2010.0,1099.2710669423955,1089.1815573410659,1121.968923401135,"(-10.09, +22.70)","(-0.96, +1.40)",2025-04-10
claude-3.7-sonnet(thinking),59.99,58.62,61.55,1248.0,1070.3339634087001,1057.6534603335228,1093.8079852301867,"(-12.68, +23.47)","(-1.37, +1.56)",2025-04-10
o1-high,57.92,56.55,59.3,1512.0,1055.528459904198,1042.8787318733976,1077.486959316144,"(-12.65, +21.96)","(-1.37, +1.38)",2025-04-10
deepseek-r1,56.62,55.32,57.9,1218.0,1046.2615430863066,1034.250150202581,1067.439344259236,"(-12.01, +21.18)","(-1.30, +1.28)",2025-04-10
qwen-max,56.46,55.03,58.06,1420.0,1045.1483047017005,1032.175808147414,1068.5725952738383,"(-12.97, +23.42)","(-1.43, +1.60)",2025-04-10
o3-mini-high,53.73,52.19,55.1,1265.0,1025.94394520766,1012.3190145352311,1047.6783535268848,"(-13.62, +21.73)","(-1.54, +1.37)",2025-04-10
o1-medium,53.69,52.47,55.64,1490.0,1025.7048932395742,1014.2801271267656,1051.4658444826705,"(-11.42, +25.76)","(-1.22, +1.95)",2025-04-10
gemini-2.0-flash-001,52.93,51.97,54.1,1901.0,1020.3808841618524,1010.8267387997078,1040.644197696559,"(-9.55, +20.26)","(-0.96, +1.17)",2025-04-10
o1-low,50.4,49.18,51.94,1513.0,1002.7507827910989,991.4101092795111,1025.5592333243374,"(-11.34, +22.81)","(-1.22, +1.54)",2025-04-10
claude-3.7-sonnet,50.0,50.0,50.0,1094.0,1000.0,997.1236444250843,1012.0960390210585,"(-2.88, +12.10)","(-0.00, +0.00)",2025-04-10
chatgpt-4o-latest(2025-03-26),49.3,47.96,50.84,1111.0,995.1619802658,982.9070851644099,1017.9630007444815,"(-12.25, +22.80)","(-1.34, +1.54)",2025-04-10
gemini-2.0-flash-lite-001,49.24,47.88,51.08,2196.0,994.7214801745043,982.3801234178407,1019.6119077134086,"(-12.34, +24.89)","(-1.36, +1.84)",2025-04-10
quasar-alpha,48.99,47.72,50.41,909.0,993.0066479552966,981.2518673098385,1014.9150763431021,"(-11.75, +21.91)","(-1.27, +1.42)",2025-04-10
gpt-4.5-preview,48.23,46.42,49.93,1040.0,987.729838730388,972.1753617450064,1011.5836842552787,"(-15.55, +23.85)","(-1.81, +1.70)",2025-04-10
qwq-32b,47.28,46.25,48.86,1517.0,981.0707885728312,971.0344161835003,1004.1723606586395,"(-10.04, +23.10)","(-1.03, +1.58)",2025-04-10
qwen-plus,46.78,45.33,48.25,1346.0,977.5826166684499,964.5985073523328,999.8998808136353,"(-12.98, +22.32)","(-1.45, +1.47)",2025-04-10
